Canonical Name (Latin),Canonical Name (Greek),Variants (Latin),Variants (Greek)
Konstantina,Κωνσταντίνα,"Dina, Ntina, Nadia, Tina, Titi","Ντίνα, Τίνα, Νάντια, Κωνσταντινιά"
Diodoros,Διόδωρος,Doros,Δώρος
Diogenes,Διογένης,Diogenis,
Diomides,Διομήδης,Diomidis,
Dionysis,Διονύσης,"Dionysios, Dennis, Sakis, Nionios","Διονύσιος, Σάκης, Νιόνιος"
Dominika,Δομινίκα,"Dominike, Niki","Δομινίκη, Νίκη"
Dorotheos,Δωρόθεος,Doros,Δώρος
Efraim,Εφραίμ,Ephraim,
Eirene,Ειρήνη,"Irene, Rena, Irini, Erinoula","Ρένα, Ρηνιώ, Ειρηνούλα"
Lefteris,Λευτέρης,"Eleutherios, Lefterakis, Leftis","Ελευθέριος, Λευτεράκης"
Elias,Ηλίας,"Ilias, Eliakos, Lias","Ηλιάκος, Λιάς"
Elpida,Ελπίδα,Elpidoula,Ελπιδούλα
Elpidophoros,Ελπιδοφόρος,"Foris, Elpis",Φόρης
Manolis,Μανώλης,"Emmanouel, Manouel, Manos, Manios","Εμμανουήλ, Μάνος, Μανωλάκης"
Epifanis,Επιφάνης,Epifanios,Επιφάνιος
Episteme,Επιστήμη,Epistimi,
Erastes,Εραστής,,
Vangelis,Βαγγέλης,"Euagelos, Evangelos, Vaggelis, Vagelas","Ευάγγελος, Βαγγελάκης"
Evangelia,Ευαγγελία,"Vangelio, Eva, Lilika, Vagelitsa, Lia","Βαγγελιώ, Εύα, Λιλίκα, Λία, Λίτσα"
Euanthia,Ευανθία,"Eva, Anthoula, Anthi","Εύα, Ανθή, Ανθούλα, Εβίτα"
Euboule,Ευβούλη,Evvouli,
Evdokia,Ευδοκία,"Eudokia, Evi, Koula","Εύη, Κούλα, Ευδοκίτσα"
Evdokimos,Ευδόκιμος,Eudokimos,
Evdoxia,Ευδοξία,"Eudoxia, Evi, Doxa","Εύη, Δόξα, Δοξούλα"
Effie,Έφη,"Eufimia, Fofi, Efi, Euthymia","Ευφημία, Φώφη, Ευφημούλα"
Froso,Φρόσω,"Eufrosyne, Evfrosyni, Frosoula, Efi","Ευφροσύνη, Φροσούλα, Έφη"
Eugenia,Ευγενία,"Jeni, Evgenoula","Τζένη, Ευγενούλα"
Eugenios,Ευγένιος,"Evgenios, Evgenis",Ευγένης
Lampis,Λάμπης,Eulampios,Ευλάμπιος
Eumenis,Ευμένης,Eumenios,Ευμένιος
Eupsychios,Ευψύχιος,Psychis,
Euschemon,Ευσχήμων,Schemonis,
Evsevios,Ευσέβιος,"Eusevios, Sevis",Σέβης
Stathis,Στάθης,"Eustathios, Stathakos","Ευστάθιος, Σταθάκος"
Stratos,Στράτος,"Eustratios, Stratis, Stratakos","Ευστράτιος, Στρατής, Στρατάκος"
Thalia,Θάλεια,"Euthalia, Thalioula","Ευθαλία, Θαλιούλα"
Euthasia,Ευθασία,Thasia,
Thimios,Θύμιος,"Euthymios, Efthymios, Makis, Timis","Ευθύμιος, Μάκης, Ευθύμης"
